reconciled,Unique ID,Text: Verbatim
electric vehicle,22222221,"Something like this could be the personal transportation of the future. You'd have to eliminate a lot of safety issues, but a personal transporter that doesn't require the use of roads, or create traffic jams could be amazing. Cold fusion technology might make this possible, or the EMDrive"
standard rail system,22222222,"So in this idea you have a train system, but cars joining the existing train are accelerated prior to joining a constantly moving train.  This means the train effectively never stops to pick up passengers.  It just releases cars onto slipways.  It makes the trains completely reliable to within minutes"
electric vehicle,22222224,"hydrogen fuel cell (powered by rain water), no pedalling, automatic gear-changing, lightweigh composite "
personal vehicle,22222227,metal platform for a person to stand and can move around
flying,22222229,"aeroplane, hand phone, internet, aircon, wireless connection, GPS "
electric vehicle,22222230,"mini car, solar panel "
personal vehicle,22222232,"frame detachable, usb charged enabled (battery), detachable wheels which can be bagged "
moving surface,22222233,"travelator for short distance, cover/ shelter "
017noise,22222234,anywhere door
standard rail system,22222235,"double deck, MRT trains "
flying,22222236,vertical transport system
enhanced car,22222240,"lego inspired modular car, safety, space saving, private "
flying,22222242,Magic flying carpet
flying,22222243,hoverboard
boat,22222245,car that can travel on water - make us of water as 'road' to travel around Singapore
boat,22222246,"Personal Hover Craft, All terrain personal hover craft, Patent Pending "
self-driving cars,22222247,driverless vehicle
personal vehicle,22222249,"skateboard, jet propelled "
flying,22222251,hover
wearable,22222252,"Motorised roller blades, to be allowed on the roads "
wearable,22222253,jetpack
self-driving cars,22222254,"individual bubble carrier/ car, mind sensor knows where you want to go after you enter "
standard rail system,22222255,"never slows down, exit and decelerate, modular train concept, accelerator "
new roads,22222257,underground road system
018noise,22222260,"Motor, motor "
wearable,22222263,roller blade without wheels
019noise,22222264,Wheels
standard rail system,22222265,air-rail
moving surface,22222266,travelator
standard rail system,22222267,"personal transportation system, mrt "
self-driving cars,22222268,"house on the move, levitating boots/ shoes to move faster, roads for levitating boots to propel (like maglev for trains), gps enabled, route sensitive, set routes "
standard bike,22222269,gyrocycle
flying,22222270,flying convertible car
flying,22222271,wing
route planning,22222273,traffic condition update on road usage and suggest best  route to work/ travel
020noise,22222275,stabilizers
flying,22222276,helicopter scooter
boat,22222277,"help, it stinks, drainage system, glass dome for smell control "
new roads,22222280,underground road system
flying,22222281,"balloon, ship, wheel, rudder "
standard bike,22222284,bicycle
standard rail system,22222285,"Take lift up, MRT/ Bus stop "
boat,22222286,"boat using reservoir, ensure seamless connection to land transport "
flying,22222288,"cardless, personal flying device, smart bicycle "
teleportation,22222289,"jurong, changi, teleportation "
021noise,22222290,Trust powered
route planning,22222300,gps umbrella to direrct commuter to nearest MRT
self-driving cars,22222302,GPS unmanned
self-driving cars,22222303,transport that bring to your dooestep
standard bus,22222304,double decker MRT cabins
recycling,22222324,"fueled bu natural elements, no need to re-charge with electricity (environmetally friendly), with umbrella to shield from sun & rain "
000noise,22222325,glass
self-driving cars,22222692,automated personal pods
flying,22222697,shoes + drones
self-driving cars,22222701,"self-drive, suto electric car "
standard bus,22222712,"public transport: seld drive bus> lesser human error, higher bus frequency "
001noise,22222730,"woodlands statellite town, bike tracks, driverless track, jurong town, central town, changi town, satellite town, boats "
enhance walking,22222852,"roadside trees, canopy walk "
flying,22223057,"flying mass transport, can go faster, less obstacle, personal transport , two layers "
teleportation,22223095,"teleportation ""Beam me up Scotty!"" "
002noise,22223103,time traveller
moving surface,22223152,travelator - conveyor belt
flying,22223175,"flying bus ufo thing, wheels of fire, iron man-ish "
comforts,22223189,"Computers, aircon, ipad, telephone, internet, car"
electric vehicle,22223197,Electric skateboard
teleportation,22223273,"portal, use wormholes, teleportation, teleportation system "
cable,22223281," Zip lines from buildings to buildings, with stowable ziplining device, stores heat energy from the ziplining, bonus parachute for safety "
virtual,22223294, virtual-tele-conference
004noise,22223312, turn the knob
flying,22223322, travel by air
wearable,22223363," single person, motor shoes, remotes control, speed buttons "
005noise,22223377, sea
moving surface,22223389, retractable travelator
006noise,22223393, reduced height
standard bike,22223404," personal, portable, compact, equipment, foldable, portable bicycle, lightweight, fold into brief case size "
levitation,22223408," personal motorised levitation platform, electric rail "
wearable,22223465, just make it into shoes
wearable,22223485, human on wheels
electric vehicle,22223553," electric car, electric induction "
self-driving cars,22223567, driveless transport ports
access,22223572," device replace carkey/ finger print concept, etc "
regulation,22223573," dedicated lanes/ roads, electric trams? "
flying,22223583, cars with wings
flying,22223590," can land aircraft as well, park in the sky "
self-driving cars,22223612," automated, just key in and it bring you there. Dont have to control and do your things while travelling eg. Watch movie "
enhanced car,22223622," air, sea & land transporter "
reconciled,22223629," 3km/hr, 11km/hr "
regulation,22223668," car-free zone, car at underground road, surface car-free, car at the underground"
levitation,22223754," levitating wheels, no more punctured tyres "
service - sharing,22223786, on demand
levitation,22223795," personal transport by standing on top, levitate, propulsion system"
electric vehicle,22223811," segway? Motorised? To move faster, HDB, flying fox, mass transit helicopter, need landing helipad, say from east to Tuas?"
electric vehicle,22223822, solar panel
electric vehicle,22223825, solar- powered bicycles
teleportation,22223841, teleportation
teleportation,22223846, telepresence
service - sharing,22223852," transportation system: carpool (efficiency), few stops/ destination, express transport sytem, reliable "
self-driving cars,22223878,driverless vehicle (on land and sea)
self-driving cars,22223884, automated driverless car
wearable,22223887, iron man suit
