Supercluster,Synthesized,ID,Solution Set: Group Experienced
vehicle design,electric vehicle,22223825, solar- powered bicycles 
vehicle design,flying,22223590," can land aircraft as well, park in the sky "
noise,000noise,22223103,time traveller
vehicle design,levitation,22223408," personal motorised levitation platform, electric rail "
noise,000noise,22223189,"Computers, aircon, ipad, telephone, internet, car"
vehicle design,levitation,22223754," levitating wheels, no more punctured tyres "
control system,self-driving cars,22223612," automated, just key in and it bring you there. Don't have to control and do your things while travelling eg. Watch movie "
vehicle design,boat,22223377, sea 
control system,service - sharing,22223852," transportation system: carpool (efficiency), few stops/ destination, express transport sytem, reliable "
noise,000noise,22222325,glass 
vehicle design,standard bus,22222712,"public transport: seld drive bus> lesser human error, higher bus frequency "
vehicle design,electric vehicle,22223363," single person, motor shoes, remotes control, speed buttons "
control system,self-driving cars,22222730,"woodlands statellite town, bike tracks, driverless track, jurong town, central town, changi town, satellite town, boats "
vehicle design,flying,22223057,"flying mass transport, can go faster, less obstacle, personal transport , two layers "
noise,000noise,22223393, reduced height 
vehicle design,electric vehicle,22223553," electric car, electric induction "
control system,self-driving cars,22223884, automated driverless car 
vehicle design,flying,22222697,shoes + drones 
vehicle design,levitation,22223795," personal transport by standing on top, levitate, propulsion system"
control system,access,22223572," device replace carkey/ finger print concept, etc "
control system,self-driving cars,22223878,driverless vehicle (on land and sea) 
infastructure system,moving surface,22223389, retractable travelator 
vehicle design,electric vehicle,22223822, solar panel 
vehicle design,flying,22222276,helicopter scooter 
control system,regulation,22223573," dedicated lanes/ roads, electric trams? "
control system,regulation,22223668," car-free zone, car at underground road, surface car-free, car at the underground"
noise,000noise,22223273,"portal, use wormholes, teleportation, teleportation system "
vehicle design,standard bike,22223404," personal, portable, compact, equipment, foldable, portable bicycle, lightweight, fold into brief case size "
control system,regulation,22223629," 3km/hr, 11km/hr "
noise,000noise,22223095,"teleportation ""Beam me up Scotty!"" "
vehicle design,human powered,22223485, human on wheels 
vehicle design,flying,22223175,"flying bus ufo thing, wheels of fire, iron man-ish "
vehicle design,flying,22223887, iron man suit
control system,self-driving cars,22223567, driveless transport ports 
control system,self-driving cars,22222692,automated personal pods 
vehicle design,enhanced car,22223622," air, sea & land transporter "
vehicle design,electric vehicle,22223197,Electric skateboard 
noise,000noise,22223312, turn the knob 
vehicle design,flying,22223322, travel by air 
noise,000noise,22222852,"roadside trees, canopy walk "
control system,service - sharing,22223786, on demand 
infastructure system,moving surface,22223152,travelator - conveyor belt 
infastructure system,cable,22223281," Zip lines from buildings to buildings, with stowable ziplining device, stores heat energy from the ziplining, bonus parachute for safety "
vehicle design,flying,22223583, cars with wings 
vehicle design,shoes,22223465, just make it into shoes 
control system,self-driving cars,22222701,"self-drive, suto electric car "
vehicle design,electric vehicle,22223811," segway? Motorised? To move faster, HDB, flying fox, mass transit helicopter, need landing helipad, say from east to Tuas?"
noise,000noise,22223841, teleportation
noise,000noise,22223846, telepresence 
control system,regulation,22223294, virtual-tele-conference 
