Label,ID,Solution Set: Group Novice
cable car,1111172,cable car above the road  hover cute hitch ride for same direction
cable car,1111121,cable cars on tall housing development projects to MRT tracks why cable car: cheaper than tracks able to harvest vibrations add rails under the cable cars so they can go under each other MRT station
cable car,1111170,cable car MRT system entrance platform entrance queue monorail movement constant double monorail no connected exit platform
driver assist,1111198,GPS system (least crowded route algorithm) hover board
driver assist,1111171,GPS controlled cruise control GPS active 90km/h cruise control on
driver assist,1111126,speed depends on crowd at that time priority given to the car that reaches the junction first speed of the car at the junction will be controlled   a system underground follow the desired path chosen   the driver before reaching the junction car auto-handle
electric vehicle,1111112,Photo-voltaic cells trains that do not stop > save time road under train track to save space
electric vehicle,1111123,electric uniycle  scoots  carpooling smartphone location info go!  SG travel App going to? travel options + cost book carpool nearest public bicycle scooter personal motorised transport> charging ports>velib public loan system charging stations public vehicle navigation system smartchip embedded on every transportation device traffic tracking (zonal)>deep learning optimised navigation route
electric vehicle,1111122,electric wheelchair  electric scooter  smartphone powered car  drone shopping for groceries
flying,1111195,Hot air balloon  be a smart human use the limbs you already have
flying,1111165,flying sofa travelling remote control
flying collapsable,1111202,a foldable hovering geodesic dome for transportation of families fold and store (space constraint)
flying collapsable,1111130,Cloud with engines inside seats = soft collapsible fibre (can be 'crushed' to the size of an iphone high-power propellers  GPS antenna harvest energy from lightning voldemold
flying wearable,1111117,jetpack version  He He He
flying wearable,1111128,Flying boots gravitational boosters x2 protection from gravitational fluctuation aditya's legs  Flying pants  Cannon launch point a long distance  Gundam  Multi-level vehicles
flying wearable,1111142,rocket pants more rocket science  just add unicorn e boticon  magic potion
flying wearable,1111201,jetpack safety
flying wearable tubes,1111185,maglev individuals superconducting pipe conducting suits home conducting pods workplace  home zipline firefox office cataoult humans calculate trajectories perfectly  jae's block wireframe structure to reduce motorial use shapeshifting block > evens out road surfaces automatically don't need roads any normal natural space works too no need to repair large amounts of infrastructure at one time also singaore no space
grappling,1111211,Grappling mrt harvesting gravitational energy steps take the lift to the highest floor grapple down the desired location profit  gyroball
human powered,1111204,wheelchair someone pushes you from point to point  human cannon with parachute for landing
increase channels,1111146,multiple layers of roads multiple destinations in one level there's one on direction ladder from one level to another auto tracks car track is designed   computer system optimization
teleportation,1111131,Scroll of town portal town a town b vaccum pipes to transport people (or magnets?  modular train  multistory train train with multiple storeys
teleportation,1111188,go anywhere door  jet packs school bag rockets  electric bicycle  solar powered travellators solar panels solar panels as power source alight on specified roads alight here
teleportation,1111116,Portal transportation  Tubed transportation new highways pods solar cell-covered network of routes map/ entertainment chair inside maglev inside of capsule electric powered magnet to make it 'float' in tube  rocket launching
moving destination,1111162,integrated house transport system a day before plan your trip where are you heading to? Depart from arrive at time to walk to the busstop office surbana
moving destination,1111133,Instead of going to work work goes to you! your boss wake up now  soft landing missile for transportation of goods door to door (GPS coordinates to your exact location in seconds) non lethal warhead stuff you brought just 20 seconds ago
moving destination,1111209,moving rooms what if places move instead of people? buildings are frames and rooms come in and fits into place when there's no need to move  gravity slides and changing landscapes
moving destination,1111181,window for light sleeping on the move place to soap and brush teeth entertainment system cum route planner wheels bed mini fridge storage compartment automatically plans your route with respect to your schedule main control system to optimise traffic moves while you sleep you will wake up at your destination
moving surface,1111161,move based on the tracks on the floor using sensors cushion arm rest head rest
noise1,1111168,outsied inside capsule
noise2,1111174,magnetism
noise3,1111132,New 'bai lun' this would be a success because of the way it is  It is like a FedEx but for people Barcode supermarket scanner EPD - efficient people delivery federps delivery man bus interchange FEDERES
omnidrive,1111175,cars with mecanum wheels
omnidrive,1111182,rolling sphere but person inside not rolling
omnidrive,1111199,rotating seat causes shift in center of gravity that allows car to roll forward or backward sideway rotary works too  for route marches in the army allow individual transportation of soldiers & fieldpack & warfare equipment rocket boosters fieldpack fan to increase horizontal velocity
orbit,1111138,ionosphere orbital elevator fuel free flight using natural orbital forces for mass- transport across continents
parachute,1111180,marry poppins for short distance in CBD  maglev for individuals on exit MRT tracks users are to guide themselves/ pre programmed the boots so you blame yourself if the train is late special boots with maglev device user to remove when done
parachute,1111187,cover protector from heat rain etc parachute overdeas flyable half open semi circle magnetic tracks individual occupation lavitation
pokemon,1111194,team rocket meowth that's right must protect against pidegeys to get people off the road reduce the total number of people  become iron man it is doable just don't die of radiation poisoning  portal poof appeared this is a transporter it is doable you just cant do it yet poof gone
regulation,1111206,train express literally only stops at these stops express trains across the planet transit time from personal transportation to public transportation encourageing people to use personal mobility devices train when moving direct transition from personal mobility devices to using trains
regulation,1111214,SMRT connected to Internet of things
self-driving cars,1111144,autonomous bus that dominates the land air & sea ultrasonic sensors are awesome I rate them  5/ 5. terror on tracks
service - sharing,1111183,bicycle/ electric scooter sharing systems and paths
solar umbrella,1111151,solar cell/ umbrella  rapunzel  limitation head might spin  limitation reaction might be too weak maybe can hop from one place to another
standard bike,1111160,drunstix cycle thin and compact wheels vroom vroom move based sensor warning headlights handle grips pedal
standard boat,1111191,floaty boaty water = less friction no wheels needed control switch propeller (can change direction) can deflate  suction  freelines
sustainable materials,1111119,Body of car is plastic so can melt the unwanted cars/ old cars and create new cars to save materials runs on plastic>reduce number of plastic wastage>greener world
sustainable materials,1111203,there is a problem with scarcity of rare earth metals the solution is to be old-school I present the flint mobile
technology - sharing,1111167,for cars & vehicles for bicycles & pedestrians for mrt driverless system for optimizing travel time and mileage single passenger car combine 2 or more of such pods like lego multi passenger car carpooling of driverless e-cars center car station vertical parking
tubes,1111156,giant suction tubes point a point b
